especies,registros BHRD,Hábito,ID,SpecieName,Family,Genus,Specific.Epiteth,Seed.type,Sind,fdiam,flen,seeddiam,seedlen,wooden,Tre.size.max,scientificName,id_bhrd,id_flora,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,life.form,habitat,vernacular.name,occurrence,establishment,arvore_life.form,Arbusto_life.form,LVT_life.form,Subarbusto_life.form,suculenta_life.form,Terricola_habitat,Rupicola_habitat,Hemiepifita_habitat
Myrcia splendens,104,Árvore,1276,Myrcia splendens,Myrtaceae,Myrcia,splendens,recalcitrant,zoochoric,"6,1",11,"4,6","6,1","0,87",8,Myrcia splendens,sp_0001,10759,Myrcia splendens (Sw.) DC.,NA,Myrtaceae,species,accepted,Myrcia splendens,NA,,Myrcia splendens,arvore,Terricola,NA,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,native,1,0,0,0,0,1,0,0
Senna multijuga,55,Árvore,1682,Senna multijuga,Fabaceae,Senna,multijuga,orthodox,abiotic,"19,03",145,"2,23",7,"0,5485",10,Senna multijuga,sp_0006,23157,Senna multijuga (Rich.) H.S.Irwin & Barneby,NA,Fabaceae,species,accepted,Senna multijuga,NA,,Senna multijuga,arvore,Terricola,NA,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SP|BR-TO,native,1,0,0,0,0,1,0,0
Solanum swartzianum,55,Árvore,1740,Solanum swartzianum,Solanaceae,Solanum,swartzianum,orthodox,zoochoric,"1,7","11,8",NA,NA,NA,8,Solanum swartzianum,sp_0007,14872,Solanum swartzianum Roem. & Schult.,NA,Solanaceae,species,accepted,Solanum swartzianum,NA,,Solanum swartzianum,arvore,Terricola,NA,BR-BA|BR-ES|BR-MG|BR-PB|BR-PR|BR-RJ|BR-SC|BR-SP,native,1,0,0,0,0,1,0,0
Casearia arborea,53,Arbusto|Árvore,255,Casearia arborea,Salicaceae,Casearia,arborea,orthodox,zoochoric,"3,5",7,"1,5",2,"0,59",12,Casearia arborea,sp_0008,14363,Casearia arborea (Rich.) Urb.,NA,Salicaceae,species,accepted,Casearia arborea,NA,,Casearia arborea,Arbusto|arvore,Terricola,"camarao-branco, rama-branca/PORTUGUES/Alagoas | capani§a-braba, boieira/PORTUGUES/Amazonas | li­ngua-de-velho, pindai­ba/PORTUGUES/Bahia | li­ngua-de-cao/PORTUGUES/Espirito Santo | folha-de-carne, chi¡-de-frade/PORTUGUES/Mato Grosso | erva-de-lagarto, espeteiro, pau-prego/PORTUGUES/Minas Gerais | pau-de-olaria, muirapuama/PORTUGUES/Para | carniceiro/PORTUGUES/Parai­ba | erva-de-lagarto, imbui­-amarelo/PORTUGUES/Rio de Janeiro | folha-de-carne/PORTUGUES/Tocantins | puleiro-de-pombo, li­ngua -de-tiiº/PORTUGUES/Acre",BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RR|BR-SE|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,1,0,0
Eremanthus erythropappus,52,Árvore,532,Eremanthus erythropappus,Asteraceae,Eremanthus,erythropappus,orthodox,abiotic,NA,NA,1,6,"0,99",10,Eremanthus erythropappus,sp_0010,5315,Eremanthus erythropappus (DC.) MacLeish,NA,Asteraceae,species,accepted,Eremanthus erythropappus,NA,,Eremanthus erythropappus,arvore,Terricola,NA,BR-DF|BR-ES|BR-GO|BR-MG|BR-RJ|BR-SP,native,1,0,0,0,0,1,0,0
Eremanthus crotonoides,51,Árvore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eremanthus crotonoides,sp_0011,5314,Eremanthus crotonoides (DC.) Sch.Bip.,NA,Asteraceae,species,accepted,Eremanthus crotonoides,LC,,Eremanthus crotonoides,arvore,Terricola,NA,BR-BA|BR-ES|BR-MG|BR-RJ,native,1,0,0,0,0,1,0,0
Guatteria australis,50,Arbusto|Árvore,765,Guatteria australis,Annonaceae,Guatteria,australis,recalcitrant,zoochoric,6,12,7,10,"0,59",15,Guatteria australis,sp_0013,110377,Guatteria australis A.St.-Hil.,NA,Annonaceae,species,accepted,Guatteria australis,LC,,Guatteria australis,Arbusto|arvore,Terricola,NA,BR-BA|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Dalbergia nigra,48,Árvore,476,Dalbergia nigra,Fabaceae,Dalbergia,nigra,orthodox,abiotic,"10,37","57,1","5,2","11,2","0,83843",25,Dalbergia nigra,sp_0016,22915,Dalbergia nigra (Vell.) Allemao ex Benth.,NA,Fabaceae,species,accepted,Dalbergia nigra,VU,,Dalbergia nigra,arvore,Terricola,Jacarandi¡-caviuna/PORTUGUES/Brasil | Jacarandi¡-da-Bahia/PORTUGUES/Brasil | Rosewood/INGLES/Brasil-nome comercial,BR-AL|BR-BA|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-SE|BR-SP,native,1,0,0,0,0,1,0,0
Manihot pilosa,48,Arbusto|Árvore|Liana/volúvel/trepadeira,1037,Manihot pilosa,Euphorbiaceae,Manihot,pilosa,orthodox,abiotic,12,12,NA,10,NA,3,Manihot pilosa,sp_0017,29312,Manihot pilosa Pohl,NA,Euphorbiaceae,species,accepted,Manihot pilosa,NA,,Manihot pilosa,Arbusto|arvore|Liana/voluvel/trepadeira,Terricola,NA,BR-ES|BR-MG|BR-RJ|BR-SP,native,"0,333333333333333","0,333333333333333","0,333333333333333",0,0,1,0,0
Mabea fistulifera,46,Arbusto|Árvore,998,Mabea fistulifera,Euphorbiaceae,Mabea,fistulifera,orthodox,abiotic,NA,NA,7,9,"0,61",8,Mabea fistulifera,sp_0020,22717,Mabea fistulifera Mart.,NA,Euphorbiaceae,species,accepted,Mabea fistulifera,NA,,Mabea fistulifera,Arbusto|arvore,Terricola,canudo-de-pito/PORTUGUES/sudeste | 'canudeiro'/PORTUGUES/Norte/AM,BR-AC|BR-AM|BR-AP|BR-BA|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-RJ|BR-RO|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
